id,viewed_at,public_letter_id,user_id
1,2025-01-18 17:00:56.186301,483,1
2,2025-01-18 17:00:56.186301,595,1
3,2025-01-18 17:00:56.186301,579,1
4,2025-01-18 17:00:56.186301,644,1
5,2025-01-18 17:00:56.186301,470,1
6,2025-01-18 17:00:56.186301,553,1
7,2025-01-18 17:00:56.186301,484,1
8,2025-01-18 17:00:56.186301,437,1
9,2025-01-18 17:00:56.186301,299,1
10,2025-01-18 17:00:56.186301,506,1
11,2025-01-18 17:00:56.186301,587,2
12,2025-01-18 17:00:56.186301,408,2
13,2025-01-18 17:00:56.187265,200,2
14,2025-01-18 17:00:56.187265,502,2
15,2025-01-18 17:00:56.187265,537,2
16,2025-01-18 17:00:56.187265,473,2
17,2025-01-18 17:00:56.187265,657,2
18,2025-01-18 17:00:56.187265,493,2
19,2025-01-18 17:00:56.187265,239,2
20,2025-01-18 17:00:56.187265,641,2
21,2025-01-18 17:00:56.187265,215,3
22,2025-01-18 17:00:56.187265,477,3
23,2025-01-18 17:00:56.187265,303,3
24,2025-01-18 17:00:56.187265,537,3
25,2025-01-18 17:00:56.187265,415,3
26,2025-01-18 17:00:56.187265,360,3
27,2025-01-18 17:00:56.187265,354,3
28,2025-01-18 17:00:56.187265,243,3
29,2025-01-18 17:00:56.187265,398,3
30,2025-01-18 17:00:56.187265,632,3
31,2025-01-18 17:00:56.187265,453,4
32,2025-01-18 17:00:56.187265,287,4
33,2025-01-18 17:00:56.187265,536,4
34,2025-01-18 17:00:56.187265,591,4
35,2025-01-18 17:00:56.187265,640,4
36,2025-01-18 17:00:56.187265,609,4
37,2025-01-18 17:00:56.187265,504,4
38,2025-01-18 17:00:56.187265,443,4
39,2025-01-18 17:00:56.187265,354,4
40,2025-01-18 17:00:56.187265,657,4
41,2025-01-18 17:00:56.187265,536,5
42,2025-01-18 17:00:56.187265,583,5
43,2025-01-18 17:00:56.187265,541,5
44,2025-01-18 17:00:56.187265,311,5
45,2025-01-18 17:00:56.187265,244,5
46,2025-01-18 17:00:56.187265,199,5
47,2025-01-18 17:00:56.187265,448,5
48,2025-01-18 17:00:56.187265,540,5
49,2025-01-18 17:00:56.187265,495,5
50,2025-01-18 17:00:56.187265,469,5
51,2025-01-18 17:00:56.187265,641,6
52,2025-01-18 17:00:56.187265,371,6
53,2025-01-18 17:00:56.187265,256,6
54,2025-01-18 17:00:56.187265,383,6
55,2025-01-18 17:00:56.187265,525,6
56,2025-01-18 17:00:56.187265,532,6
57,2025-01-18 17:00:56.187265,275,6
58,2025-01-18 17:00:56.187265,615,6
59,2025-01-18 17:00:56.187265,295,6
60,2025-01-18 17:00:56.187265,534,6
61,2025-01-18 17:00:56.187265,453,7
62,2025-01-18 17:00:56.187265,294,7
63,2025-01-18 17:00:56.187265,584,7
64,2025-01-18 17:00:56.187265,308,7
65,2025-01-18 17:00:56.187265,327,7
66,2025-01-18 17:00:56.187265,646,7
