id,reacted_at,user_id,public_letter_id
1,2025-01-14 17:51:10.326024,1,338
2,2025-01-14 17:51:10.326024,2,502
3,2025-01-14 17:51:10.326024,3,367
4,2025-01-14 17:51:10.326024,4,469
5,2025-01-14 17:51:10.326024,5,459
6,2025-01-14 17:51:10.326024,6,624
7,2025-01-14 17:51:10.326024,7,503
8,2025-01-14 17:51:10.326024,8,345
9,2025-01-14 17:51:10.326024,9,608
10,2025-01-14 17:51:10.326024,10,461
11,2025-01-14 17:51:10.326024,11,428
12,2025-01-14 17:51:10.326024,12,242
13,2025-01-14 17:51:10.326024,13,385
14,2025-01-14 17:51:10.326024,14,477
15,2025-01-14 17:51:10.326024,15,614
16,2025-01-14 17:51:10.326024,16,389
17,2025-01-14 17:51:10.326024,17,432
18,2025-01-14 17:51:10.326024,18,268
19,2025-01-14 17:51:10.326024,19,623
20,2025-01-14 17:51:10.326024,20,652
21,2025-01-14 17:51:10.326024,21,341
22,2025-01-14 17:51:10.326024,22,556
23,2025-01-14 17:51:10.326024,23,566
24,2025-01-14 17:51:10.326024,24,528
25,2025-01-14 17:51:10.326024,25,406
26,2025-01-14 17:51:10.326024,26,641
27,2025-01-14 17:51:10.326024,27,504
28,2025-01-14 17:51:10.326024,28,392
29,2025-01-14 17:51:10.326024,29,244
30,2025-01-14 17:51:10.326024,30,375
31,2025-01-14 17:51:10.326024,31,439
32,2025-01-14 17:51:10.326024,32,515
33,2025-01-14 17:51:10.326024,33,403
34,2025-01-14 17:51:10.326024,34,662
35,2025-01-14 17:51:10.326024,35,490
36,2025-01-14 17:51:10.326024,36,506
37,2025-01-14 17:51:10.326024,37,440
38,2025-01-14 17:51:10.326024,38,449
39,2025-01-14 17:51:10.326024,39,218
40,2025-01-14 17:51:10.326024,40,323
41,2025-01-14 17:51:10.326024,41,484
42,2025-01-14 17:51:10.326024,42,388
43,2025-01-14 17:51:10.326024,43,476
44,2025-01-14 17:51:10.326024,44,517
45,2025-01-14 17:51:10.326024,45,631
46,2025-01-14 17:51:10.326024,46,299
47,2025-01-14 17:51:10.326024,47,425
48,2025-01-14 17:51:10.326024,48,558
49,2025-01-14 17:51:10.326024,49,640
50,2025-01-14 17:51:10.326024,50,231
51,2025-01-14 17:51:10.326024,51,449
52,2025-01-14 17:51:10.326024,52,564
53,2025-01-14 17:51:10.326024,53,419
54,2025-01-14 17:51:10.326024,54,360
55,2025-01-14 17:51:10.326024,55,314
56,2025-01-14 17:51:10.326024,56,594
57,2025-01-14 17:51:10.326024,57,656
58,2025-01-14 17:51:10.326024,58,303
59,2025-01-14 17:51:10.326024,59,344
60,2025-01-14 17:51:10.326024,60,542
61,2025-01-14 17:51:10.326024,61,215
62,2025-01-14 17:51:10.326024,62,320
